id_left,id_right
a138a4eb20c3a70c2f031371fd200b4cd9f7db1c,fd7204bb7a51d94706a99a0a871d8a8d2c3ae7da
0605b84b9c5808939ab978d4f1054a7182bee351,786b35dfd7d713d27c30cd1f47899de6505bcc05
0605b84b9c5808939ab978d4f1054a7182bee351,a696e6324f8ba1ecdec4f0c87dfdabe6a0b9cedf
1402e76561336978405dd1d4ddcb8af4f8764dfb,3f7fce9c61e15f12a8bd1672f1194711857e4200
6b66ea50514d76a6ba79e823315b1394cb974b37,07335654755b663da9a1a80ac630dab803ac154b
6b66ea50514d76a6ba79e823315b1394cb974b37,1358539d9a2922e0645387848d6719d1eaeab908
2dfe7c5217345dddc734b072993c98d35aac32f6,479eba6a9947f307a905d601e437aa97a08e8767
2dfe7c5217345dddc734b072993c98d35aac32f6,3fc8876d905525b3b15ca5f3f27948c76bd30cb7
07335654755b663da9a1a80ac630dab803ac154b,1358539d9a2922e0645387848d6719d1eaeab908
a3ff80586a208ed6d0d9e2e6393acf162fa7a5e1,310edecaaa6c65c18c33de9ee12185dad7ce7731
004cd8f29b24b7a9f24cdfc6e133a60a4f31dcff,b5eedd2ee798780839f1226054023bdea4030e00
004cd8f29b24b7a9f24cdfc6e133a60a4f31dcff,f6b0f843f8c8b9e49f0f6226c2dcae8358a0e34a
d0bc367eb511295e931b542096c1047955cd06ac,708fc64bc04360749843f5e45943372d8e644687
20f1453be306e9b57c4c26fb1469933ef2aaaee0,41f10f0aaa6171edcc2eb987b700ceff8bd990fd
8d066951036349b3cee9a477d17b24b068b34a6f,8475cb8914d92ba0a90ae54a06044f07a6c821cb
32917403e93736537bf34809c811205a4c1cfc78,646762bbb049a3741cb787b8df3aea97d33cbd60
a3f7aa3b48eb931dbbb0d89c0145c46b543aca39,ddaa4f778081d2cca46aac37c91855448f54cf9b
03b5eed8bfb477ab9e076f5523da1a39bb137ff2,4dc03be067dc250e69d422472c2d6699790f128e
8a519db4b05d2299982afb906cf59b2a6366fe56,e643e852733dd310ab8c780168deae2ab44d97de
f7760d89dc597332b92f9966289eef8145aa36e9,5cbaa77b463ca3f86276b8141218ca3bda37249b
4b65c3051e97bf35ceb65a23b1e0da2b14c0e295,239ef0de43948cdeba50f68ba9a0fafd70efd3b3
9aa7f61e975223bdee977b38101a6256d7dbe364,2eaa72ad748e4eb313c408ed61f7852530740764
ca51e96a7d083558637db8cc1d69c051483f6861,82e752c386d89d04d6420765f953d96a11c8f0c8
6b58179ad7ffa8776749adeadcc130172dbd6455,b39f371e800be3b84b3e2eb8d69b1bae764ff717
6b58179ad7ffa8776749adeadcc130172dbd6455,0ba5e479ce6421f2d848daac2d483e59003f35b7
dc6c921f220cf6ac4d58bd71de0b6cae8bb528db,43bd5e0aa6862de40978d070011fdddfe36c25b3
ad7295733b16eff33052329c8331d0c8f005fe8b,fc92586993338ec10d0e014390edd47b4a544689
a2ae24f8e36f4efd84971a16eda36b543f8794e1,7915fcf4ae54240a34a160c60c7186f21f6a10eb
b39f371e800be3b84b3e2eb8d69b1bae764ff717,0ba5e479ce6421f2d848daac2d483e59003f35b7
142151b713ad39ae726fa46f86822d8c45756e98,3cce078e337aaa0e48993aca00390333df7fa3e3
60f86863f5aa4b8e752810235787f43095296e6d,41997b67f897f64d19769fb9e00df8c18aee09b3
60f86863f5aa4b8e752810235787f43095296e6d,8f8d11b606427970237a7214e4238bbd7824c795
84d4d70348d619b79069f476f6a65046ebdffd49,c65618057ddb0020dbf184836ec3d00e43a75a09
9df78a04630a1069631e2ed06e1ae9ac3cbc80bb,220ab8f11625fd3853c6451766c170617dfcf631
41997b67f897f64d19769fb9e00df8c18aee09b3,8f8d11b606427970237a7214e4238bbd7824c795
4ff3dd756941f2cbd9d151bf5780fcfda0a7224f,67e172c3c36e11b5108dd6746c5a18168e299e4c
4ff3dd756941f2cbd9d151bf5780fcfda0a7224f,1ea74088bfd821fb3c595d1f7872f9c877e9629d
67e172c3c36e11b5108dd6746c5a18168e299e4c,1ea74088bfd821fb3c595d1f7872f9c877e9629d
9457375c423b72a40b9fccbad864050bdaada853,f6d7701b8d07dd5f10fbd8eeb7a9aff3e811919c
b41fa6a6d0de6386d43df30b6387f5abc69f399e,450a13e082f72b15f605fca01934ea13ef093c66
c5cf1aa86def911b69a569e0a908e4ab620175b6,2e673cb8205d6e5237655eb01ba907a7bc9af676
